Type,Sub Type,Temperature,ID,Max Frequency,Mean Frequency,Centroid,Thermal Damage
Heated,,25,38018,1.6281407035175879,13.5,5.009858484579955,0.057651443311328654
Heated,,25,38019,1.6281407035175879,13.5,4.994366437947026,0.04361292439755449
Heated,,25,38020,1.6281407035175879,13.5,5.241342788248348,0.057651443311328654
Heated,,25,38021,1.6281407035175879,13.5,5.304075825831698,0.05064515845602546
Heated,,25,38022,1.6281407035175879,13.5,5.372095815397453,0.05064515845602546
Heated,,25,38023,1.6281407035175879,13.5,5.407248383275704,-0.007888498847725467
Heated,,25,38024,1.6281407035175879,13.5,5.400591912346836,0.057651443311328654
Heated,,25,38025,1.6281407035175879,13.5,5.345881158732012,0.057651443311328654
Heated,,25,38026,1.6281407035175879,13.5,5.3078150352152775,0.057651443311328654
Heated,,25,38027,1.6281407035175879,13.5,5.25773237445576,0.057651443311328654
Heated,,25,38214,1.6281407035175879,13.5,7.8999735526706845,-0.0427979221511845
Heated,,25,38215,1.6281407035175879,13.5,7.888659413671428,0.0029309287373587845
Heated,,25,38216,1.6281407035175879,13.5,7.881958858615102,0.0029309287373587845
Heated,,25,38217,1.6281407035175879,13.5,7.874174740655965,0.0029309287373587845
Heated,,25,38218,1.6281407035175879,13.5,7.888314479648885,0.010623344946830704
Heated,,25,38219,1.6281407035175879,13.5,7.727072874800583,0.0029309287373587845
Heated,,25,38220,1.6281407035175879,13.5,7.728740875635305,-0.004275535685238863
Heated,,25,38221,1.6281407035175879,13.5,7.732575678551279,0.017776057448580684
Heated,,25,38222,1.6281407035175879,13.5,7.7347625059880825,-0.004275535685238863
Heated,,25,38223,1.6281407035175879,13.5,7.7292941517098095,0.010623344946830704
Heated,,25,38380,1.6363636363636367,13.500000000000005,7.126642048269125,0.03907849973482391
Heated,,25,38381,1.6363636363636367,13.500000000000005,7.1146064541269345,0.04612741542390275
Heated,,25,38382,1.6363636363636367,13.500000000000005,7.119550613050494,0.02490282074716288
Heated,,25,38383,1.6363636363636367,13.500000000000005,7.095057447919944,0.04612741542390275
Heated,,25,38384,1.6363636363636367,13.500000000000005,7.099857191796222,0.03907849973482391
Heated,,25,38385,1.6363636363636367,13.500000000000005,7.078929224919149,0.03907849973482391
Heated,,25,38386,1.6363636363636367,13.500000000000005,7.058659391228369,0.03907849973482391
Heated,,25,38387,1.6363636363636367,13.500000000000005,7.406009476815202,0.03200363484257729
Heated,,25,38388,1.6363636363636367,13.500000000000005,7.378788346561157,0.017776057448580684
Heated,,25,38389,1.6363636363636367,13.500000000000005,7.390073202766113,0.03907849973482391
Heated,,250,40927,1.6281407035175879,13.5,7.831072569189444,0.49281064384733275
Heated,,250,40928,1.6281407035175879,13.5,7.81863166213559,0.49281064384733275
Heated,,250,40929,1.6281407035175879,13.5,7.815573883463811,0.4957381376251193
Heated,,250,40930,1.6281407035175879,13.5,7.8152337353090715,0.49281064384733275
Heated,,250,40931,1.6281407035175879,13.5,7.814711961591901,0.4850856587400074
Heated,,250,40932,1.6281407035175879,13.5,7.815458856106072,0.45967079732724436
Heated,,250,40933,1.6281407035175879,13.5,7.815743654377442,0.49281064384733275
Heated,,250,40934,1.6281407035175879,13.5,7.819220050182662,0.49281064384733275
Heated,,250,40935,1.6281407035175879,13.5,7.822530841323343,0.49281064384733275
Heated,,250,40936,1.6281407035175879,13.5,7.826119843391966,0.49281064384733275
Heated,,250,40937,1.6281407035175879,13.5,7.562423649429614,0.43364374654995164
Heated,,250,40938,1.6281407035175879,13.5,7.581605621956103,0.43054149283246357
